LFQ intensity 401#1	LFQ intensity 401#2	LFQ intensity 401#3	LFQ intensity 401#4	LFQ intensity WT#1	LFQ intensity WT#2	LFQ intensity WT#3	LFQ intensity WT#4	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Keywords	Length	N: MS/MS count	N: -Log Student's T-test p-value MT_WT	N: Student's T-test q-value MT_WT	N: Student's T-test Difference MT_WT	N: Student's T-test Test statistic MT_WT	Protein names	Gene Names	T: Protein IDs	T: Majority protein IDs	C: Only identified by site	C: Reverse	C: Potential contaminant	C: Student's T-test Significant MT_WT	C: Student's T-test significant	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	T: id	Entry Name	Organism
33.9281997680664	33.6691017150879	33.6930999755859	33.7400016784668	33.8022994995117	33.7159996032715	33.9709014892578	33.6147994995117	isoleucyl-tRNA aminoacylation [GO:0006428]	cytoplasm [GO:0005737]	aminoacyl-tRNA editing activity [GO:0002161];ATP binding [GO:0005524];isoleucine-tRNA ligase activity [GO:0004822];tRNA binding [GO:0000049];zinc ion binding [GO:0008270]	Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Zinc	922	623	0.0686008	0.925285	-0.0183802	-0.0889206	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS KPN_00021	A6T4G0	A6T4G0						50	50	50	66.5	66.5	66.5	102.72	0	323.31	1.21E+11	10	A6T4G0_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
28.6326999664307	28.7749996185303	29.3896999359131	29.8376007080078	29.1784992218018	29.8071994781494	30.3106994628906	30.0275993347168	protein folding [GO:0006457]		peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	Isomerase;Rotamase	149	55	0.927122	0.139973	-0.672252	-1.40042	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	fkpB KPN_00023	A6T4G2	A6T4G2						6	6	6	38.9	38.9	38.9	16.155	0	107.07	6715200000	11	A6T4G2_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
29.6040992736816	29.7024002075195	29.2024002075195	29.4127006530762	28.989200592041	29.0730991363525	29.8661003112793	29.5751991271973	dimethylallyl diphosphate biosynthetic process [GO:0050992];isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288];terpenoid biosynthetic process [GO:0016114]		4 iron, 4 sulfur cluster binding [GO:0051539];4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity [GO:0051745];metal ion binding [GO:0046872]	4Fe-4S;Iron;Iron-sulfur;Isoprene biosynthesis;Metal-binding;Oxidoreductase	316	50	0.171813	0.746911	0.104501	0.301178	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	ispH KPN78578_00230 KPN_00024	A6T4G3	A6T4G3						9	9	9	31.3	31.3	31.3	34.447	0	146.08	5953300000	12	ISPH_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
30.9339008331299	31.0447998046875	31.0606994628906	31.2092990875244	31.0902004241943	31.2576999664307	30.888500213623	31.2705993652344	diaminopimelate biosynthetic process [GO:0019877];lysine biosynthetic process via diaminopimelate [GO:0009089]	cytoplasm [GO:0005737]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839];NAD binding [GO:0051287];NADP binding [GO:0050661];oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]	Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Lysine biosynthesis;NAD;NADP;Oxidoreductase	273	151	0.2487	0.750728	-0.0645823	-0.297731	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	dapB KPN78578_00380 KPN_00039	A6T4H8	A6T4H8						16	16	16	61.5	61.5	61.5	28.647	0	159.85	19233000000	13	DAPB_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
28.3486003875732	28.3360004425049	28.5051002502441	28.3878993988037	27.8225002288818	27.6284008026123	28.0298004150391	27.8652992248535	arginine biosynthetic process [GO:0006526];'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207];'de novo' UMP biosynthetic process [GO:0044205];glutamine metabolic process [GO:0006541]		ATP binding [GO:0005524];carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]	Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Glutamine amidotransferase;Ligase;Nucleotide-binding;Pyrimidine biosynthesis	391	12	3.06344	0.0244	0.557905	2.75971	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA KPN_00040	A6T4H9	A6T4H9				+	MT_WT	6	6	6	25.8	25.8	25.8	42.165	0	9.9329	2450800000	14	A6T4H9_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
29.7306003570557	29.8050003051758	29.9484004974365	30.0960998535156	30.3978004455566	30.1224002838135	30.2700996398926	30.0312995910645	arginine biosynthetic process [GO:0006526];'de novo' UMP biosynthetic process [GO:0044205]		ATP binding [GO:0005524];carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088];metal ion binding [GO:0046872]	Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis;Repeat	1074	85	1.45749	0.145109	-0.310382	-1.37689	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB KPN_00041	A6T4I0	A6T4I0						31	31	31	37.9	37.9	37.9	118	0	107	8945100000	15	A6T4I0_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
27.8265991210938	28.19580078125	27.4423999786377	27.8341007232666	27.5000991821289	26.707799911499	28.044900894165	27.9311008453369		plasma membrane [GO:0005886]		Cell membrane;Lipoprotein;Membrane;Palmitate;Signal	77	21	0.353152	0.503572	0.278734	0.618127	YgdI/YgdR family lipoprotein	ygdI KPN_00042	A6T4I1	A6T4I1						4	4	4	46.8	46.8	46.8	8.2341	0	40.423	1751500000	16	A6T4I1_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
26.440299987793	26.9796009063721	27.3342990875244	27.0690994262695	28.0955009460449	26.4650993347168	27.3890991210938	27.0356998443604					158	3	0.315455	0.526525	-0.290534	-0.580631	Glutathione-regulated potassium-efflux system ancillary protein	yabF KPN_00043	A6T4I2	A6T4I2						3	3	3	33.5	33.5	33.5	17.889	0	9.7855	1206200000	17	A6T4I2_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
29.5060997009277	28.891300201416	29.2688007354736	29.4909000396729	29.6224994659424	29.7052001953125	30.1889991760254	29.5919990539551	glycine biosynthetic process [GO:0006545];one-carbon metabolic process [GO:0006730];tetrahydrofolate biosynthetic process [GO:0046654]		dihydrofolate reductase activity [GO:0004146];NADP binding [GO:0050661]	NADP;One-carbon metabolism;Oxidoreductase	159	66	1.29741	0.1052	-0.487879	-1.56881	Dihydrofolate reductase (EC 1.5.1.3)	folA KPN_00045	A6T4I4	A6T4I4						8	8	8	42.1	42.1	42.1	17.965	0	44.586	6573100000	18	A6T4I4_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
26.8176002502441	27.051399230957	27.5998992919922	27.404899597168	27.1312007904053	28.9741992950439	28.2961006164551	28.0769996643066			bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity [GO:0008803]	Hydrolase	282	26	1.12407	0.0885212	-0.901166	-1.69926	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH KPN78578_00450 KPN_00046	A6T4I5	A6T4I5						6	6	6	33	33	33	31.607	0	40.182	2015800000	19	APAH_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
27.4785995483398	26.8304004669189	26.9575996398926	26.6203994750977	27.3836994171143	27.3141002655029	27.3568992614746	27.7092990875244					119	17	1.21463	0.120699	-0.469217	-1.48954	Protein ApaG	apaG KPN_00047	A6T4I6	A6T4I6						3	3	3	19.3	19.3	19.3	13.335	0	5.4074	1353500000	20	A6T4I6_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
29.0200996398926	29.0389003753662	28.6770992279053	29.7052001953125	29.6023006439209	29.2219009399414	29.3449001312256	29.5499992370605		cytoplasm [GO:0005737]	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908];RNA binding [GO:0003723]	Cytoplasm;Methyltransferase;RNA-binding;rRNA processing;S-adenosyl-L-methionine;Transferase	273	41	0.659841	0.308335	-0.319419	-0.929235	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)	rsmA ksgA KPN78578_00470 KPN_00048	A6T4I7	A6T4I7						10	10	10	53.1	53.1	53.1	30.582	0	42.792	5460500000	21	RSMA_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
27.1975994110107	27.1567001342773	27.6476001739502	27.3507995605469	27.305700302124	27.8332996368408	28.1005992889404	27.9696006774902	pyridoxal phosphate biosynthetic process [GO:0042823];pyridoxine biosynthetic process [GO:0008615]	cytoplasm [GO:0005737]	4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570];cobalt ion binding [GO:0050897];magnesium ion binding [GO:0000287];NAD binding [GO:0051287];zinc ion binding [GO:0008270]	Cobalt;Cytoplasm;Magnesium;Metal-binding;NAD;NADP;Oxidoreductase;Pyridoxine biosynthesis;Zinc	329	22	1.18094	0.127118	-0.464157	-1.46014	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	pdxA KPN_00049	A6T4I8	A6T4I8						6	6	6	35	35	35	35.133	0	22.409	1651300000	22	A6T4I8_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
31.9964008331299	32.1099014282227	31.8313007354736	31.9314002990723	32.2549018859863	32.1664009094238	31.907600402832	32.1356010437012	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165];protein folding [GO:0006457];protein stabilization [GO:0050821]	outer membrane-bounded periplasmic space [GO:0030288]	peptide binding [GO:0042277];peptidyl-prolyl cis-trans isomerase activity [GO:0003755];unfolded protein binding [GO:0051082]	Chaperone;Isomerase;Periplasm;Repeat;Rotamase;Signal	428	235	0.781756	0.430271	-0.148877	-0.724983	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)	surA KPN_00050	A6T4I9	A6T4I9						23	23	23	67.5	67.5	67.5	47.062	0	323.31	36763000000	23	A6T4I9_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
32.652099609375	32.663200378418	32.6716003417969	32.6825981140137	32.6459999084473	32.611198425293	32.7625999450684	32.7005004882813	Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165];lipopolysaccharide transport [GO:0015920];response to organic substance [GO:0010033]	cell outer membrane [GO:0009279]		Cell outer membrane;Disulfide bond;Membrane;Signal	782	334	0.142891	0.926318	-0.0126829	-0.0875875	LPS-assembly protein LptD	imp lptD KPN_00051	A6T4J0	A6T4J0						41	41	41	63	63	63	88.487	0	323.31	56691000000	24	A6T4J0_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
28.5944004058838	28.3745002746582	28.8297004699707	28.039400100708	28.1697006225586	28.0604991912842	27.7751007080078	27.8446998596191		plasma membrane [GO:0005886]	protein-folding chaperone binding [GO:0051087]	Cell inner membrane;Cell membrane;Chaperone;Membrane;Transmembrane;Transmembrane helix	275	30	1.38733	0.0949455	0.497003	1.64193	Co-chaperone protein DjlA	djlA KPN_00052	A6T4J1	A6T4J1						9	9	9	34.5	34.5	34.5	30.959	0	27.987	2651800000	25	A6T4J1_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
32.0285987854004	32.070499420166	32.0158004760742	31.8334007263184	31.8528003692627	32.1595001220703	31.8290996551514	31.9810009002686	regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524];ATP-dependent chromatin remodeler activity [GO:0140658];DNA binding [GO:0003677];helicase activity [GO:0004386];hydrolase activity, acting on acid anhydrides [GO:0016817]	Activator;ATP-binding;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Transcription;Transcription regulation	968	263	0.128342	0.874082	0.0314999	0.154977	RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA)	rapA KPN78578_00570 KPN_00058	A6T4J7	A6T4J7						40	40	40	51.7	51.7	51.7	109.61	0	323.31	35095000000	27	RAPA_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
27.015100479126	27.2901992797852	26.6096000671387	26.7709999084473	27.3141002655029	26.7572002410889	27.4335994720459	27.253999710083	thiamine transport [GO:0015888]	outer membrane-bounded periplasmic space [GO:0030288]	thiamine binding [GO:0030975]	Periplasm;Signal;Transport	327	7	0.603313	0.359906	-0.268238	-0.834602	Thiamine-binding periplasmic protein	tbpA KPN_00067	A6T4K6	A6T4K6						7	7	7	33	33	33	36.091	0	19.507	1139200000	28	A6T4K6_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
27.0552005767822	27.24169921875	27.3335990905762	27.5291996002197	27.6837005615234	26.7961006164551	27.4839000701904	27.0330009460449	3,4-dihydroxybenzoate biosynthetic process [GO:0046279];amino acid biosynthetic process [GO:0008652];aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423]		3-dehydroquinate dehydratase activity [GO:0003855]	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Lyase;Schiff base	251	11	0.0641141	0.902409	0.0407639	0.120953	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD KPN78578_00720 KPN_00073	A6T4L2	A6T4L2						7	7	7	39	39	39	27.251	0	12.712	1356400000	29	AROD_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
30.2289009094238	29.7728996276855	29.9384994506836	29.6550998687744	29.6105995178223	29.3733997344971	29.4395999908447	29.3497009277344	leucine biosynthetic process [GO:0009098]		3-isopropylmalate dehydratase activity [GO:0003861];4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872]	4Fe-4S;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Iron;Iron-sulfur;Leucine biosynthesis;Lyase;Metal-binding	466	10	1.78958	0.0731274	0.455518	1.83102	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC KPN78578_00770 KPN_00078	A6T4L7	A6T4L7						3	3	3	9	9	9	49.828	0	4.7066	7218900000	30	LEUC_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
26.2863006591797	27.5195007324219	27.3038005828857	27.0638008117676	26.7528991699219	27.4655990600586	28.4969005584717	27.8931007385254	isoleucine biosynthetic process [GO:0009097];valine biosynthetic process [GO:0009099]		acetolactate synthase activity [GO:0003984];flavin adenine dinucleotide binding [GO:0050660];magnesium ion binding [GO:0000287];thiamine pyrophosphate binding [GO:0030976]	Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Magnesium;Metal-binding;Thiamine pyrophosphate;Transferase	574	18	0.639562	0.241969	-0.608739	-1.07551	Acetolactate synthase (EC 2.2.1.6)	ilvI KPN_00082	A6T4M1	A6T4M1						6	6	6	15.3	15.3	15.3	63.071	0	22.226	1441500000	31	A6T4M1_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
30.125	30.2632999420166	30.0965003967285	29.8868007659912	30.0594005584717	29.5930995941162	29.7889003753662	29.5874996185303	regulation of DNA-templated transcription [GO:0006355];response to fructose [GO:0009750]		DNA binding [GO:0003677]	DNA-binding;Transcription;Transcription regulation	334	62	1.3178	0.150405	0.335628	1.36054	Catabolite repressor/activator (Fructose repressor)	fruR KPN_00084	A6T4M3	A6T4M3						7	7	7	28.4	28.4	28.4	38.095	0	54.358	8450300000	33	A6T4M3_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
26.1903991699219	26.1121997833252	26.1135997772217	26.2805995941162	NaN	26.0963001251221	26.4591007232666	26.0946998596191		cytoplasm [GO:0005737];nucleoid [GO:0009295]	DNA binding [GO:0003677];DNA-binding transcription factor activity [GO:0003700]	Cytoplasm;DNA-binding;Repeat;Repressor;Transcription;Transcription regulation	152	6	0.142805	0.844861	-0.0424676	-0.19048	Transcriptional regulator MraZ	mraZ KPN78578_00840 KPN_00085	A6T4M4	A6T4M4						4	4	4	28.3	28.3	28.3	17.34	0	8.2996	553800000	34	MRAZ_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
30.4785995483398	30.4118995666504	30.3962001800537	30.6499996185303	30.5900001525879	30.5340995788574	30.7535991668701	30.4871006011963	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]	Cytoplasm;Methyltransferase;rRNA processing;S-adenosyl-L-methionine;Transferase	313	82	0.619118	0.54948	-0.107023	-0.553832	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW KPN78578_00850 KPN_00086	A6T4M5	A6T4M5						11	11	11	47.9	47.9	47.9	34.839	0	68.537	13112000000	35	RSMH_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
28.9039993286133	29.1457004547119	29.1818008422852	29.4016990661621	28.6373996734619	29.4162998199463	29.1963005065918	28.765100479126	cell wall organization [GO:0071555];division septum assembly [GO:0000917];FtsZ-dependent cytokinesis [GO:0043093];peptidoglycan biosynthetic process [GO:0009252];proteolysis [GO:0006508];regulation of cell shape [GO:0008360]	plasma membrane [GO:0005886]	penicillin binding [GO:0008658];peptidoglycan glycosyltransferase activity [GO:0008955];serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	Carboxypeptidase;Cell cycle;Cell division;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Hydrolase;Membrane;Peptidoglycan synthesis;Protease;Septation;Transmembrane;Transmembrane helix	588	23	0.31239	0.602347	0.15454	0.48314	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Penicillin-binding protein 3) (PBP-3)	ftsI KPN_00088	A6T4M7	A6T4M7						13	13	13	26.9	26.9	26.9	64.002	0	40.394	4752000000	36	A6T4M7_KLEP7	Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578)
